key;date;y
8200;01Jul2012;8966,289061
8200;01Aug2012;7335,955711
8200;01Sep2012;5175,410825
8200;01Oct2012;2760,763634
8200;01Nov2012;1817,392965
8200;01Dec2012;0
8200;01Jan2013;3983,607485
8200;01Feb2013;4067,338258
8200;01Mar2013;2746,414153
8200;01Apr2013;5362,675313
8200;01May2013;5523,818213
8200;01Jun2013;4421,736592
8200;01Jul2013;6480,976686
8200;01Aug2013;6367,932941
8200;01Sep2013;4586,90228
8200;01Oct2013;2143,500118
8200;01Nov2013;590,3799176
8200;01Dec2013;1585,213574
8200;01Jan2014;5394,531878
8200;01Feb2014;2646,85845
8200;01Mar2014;2087,970618
8200;01Apr2014;2527,187961
8200;01May2014;7149,927341
8200;01Jun2014;4268,837262
8200;01Jul2014;5256,2033
8200;01Aug2014;3652,830499
8200;01Sep2014;3731,317597
8200;01Oct2014;2702,711785
8200;01Nov2014;22,21327396
8200;01Dec2014;1778,127061
8200;01Jan2015;2866,337238
8200;01Feb2015;814,4474077
8200;01Mar2015;4612,179809
8200;01Apr2015;5480,576687
8200;01May2015;2862,184256
8200;01Jun2015;5442,871653
8200;01Jul2015;9826,515573
8200;01Aug2015;6092,625024
8200;01Sep2015;4065,124447
8200;01Oct2015;4553,472071
8200;01Nov2015;929,0216795
8200;01Dec2015;1809,059978
8200;01Jan2016;2566,377712
8200;01Feb2016;1445,996044
8200;01Mar2016;1901,517271
8200;01Apr2016;4551,886146
8200;01May2016;5242,157392
8200;01Jun2016;5026,573095
8200;01Jul2016;7107,119636
8200;01Aug2016;4775,671628
8200;01Sep2016;3794,026013
8200;01Oct2016;2159,474337
8200;01Nov2016;2836,715609
8200;01Dec2016;854,1368139
8200;01Jan2017;4259,535426
8200;01Feb2017;2857,453501
8200;01Mar2017;3781,33861
8200;01Apr2017;2346,5821
8200;01May2017;5208,391491
8200;01Jun2017;8493,636106
8200;01Jul2017;5216,139337
8200;01Aug2017;5389,522064
8200;01Sep2017;3012,258103
8200;01Oct2017;3135,298997
8200;01Nov2017;4193,688076
8200;01Dec2017;1136,512121
8200;01Jan2018;4156,192828
8200;01Feb2018;2189,906616
8200;01Mar2018;4781,84927
8200;01Apr2018;3574,953108
8200;01May2018;4888,937561
8200;01Jun2018;7066,183303
8284;01Jan2012;0
8284;01Feb2012;84,92454167
8284;01Mar2012;1698,11316
8284;01Apr2012;1396,581755
8284;01May2012;1652,408008
8284;01Jun2012;1820,598177
8284;01Jul2012;2143,755767
8284;01Aug2012;1898,422296
8284;01Sep2012;2108,777035
8284;01Oct2012;1402,447553
8284;01Nov2012;1898,710366
8284;01Dec2012;2621,200798
8284;01Jan2013;483,2725868
8284;01Feb2013;530,6790357
8284;01Mar2013;2378,95738
8284;01Apr2013;1660,608792
8284;01May2013;2482,935016
8284;01Jun2013;2304,324641
8284;01Jul2013;3540,028517
8284;01Aug2013;2862,382097
8284;01Sep2013;2454,856845
8284;01Oct2013;1837,038265
8284;01Nov2013;2357,248291
8284;01Dec2013;3810,347035
8284;01Jan2014;673,266751
8284;01Feb2014;1119,531276
8284;01Mar2014;2492,26854
8284;01Apr2014;8901,083966
8284;01May2014;4747,032302
8284;01Jun2014;2668,695082
8284;01Jul2014;4429,593963
8284;01Aug2014;3330,476577
8284;01Sep2014;3257,338062
8284;01Oct2014;2575,724539
8284;01Nov2014;3542,656318
8284;01Dec2014;4529,782585
8284;01Jan2015;1639,410804
8284;01Feb2015;1649,062265
8284;01Mar2015;4313,038666
8284;01Apr2015;3142,792835
8284;01May2015;3688,566282
8284;01Jun2015;4331,044436
8284;01Jul2015;4944,60896
8284;01Aug2015;2830,824197
8284;01Sep2015;3973,545107
8284;01Oct2015;4405,544584
8284;01Nov2015;5192,687749
8284;01Dec2015;5143,189955
8284;01Jan2016;1488,092549
8284;01Feb2016;2623,321406
8284;01Mar2016;5031,518728
8284;01Apr2016;4937,208371
8284;01May2016;4965,417458
8284;01Jun2016;7724,782059
8284;01Jul2016;6107,482116
8284;01Aug2016;5890,796908
8284;01Sep2016;6113,6371
8284;01Oct2016;3995,131654
8284;01Nov2016;6171,353449
8284;01Dec2016;5885,735213
8284;01Jan2017;2696,862717
8284;01Feb2017;3441,792555
8284;01Mar2017;5402,848115
8284;01Apr2017;5577,795275
8284;01May2017;6590,078445
8284;01Jun2017;6890,011787
8284;01Jul2017;6083,406498
8284;01Aug2017;5314,266127
8284;01Sep2017;6078,005186
8284;01Oct2017;4753,334485
8284;01Nov2017;5314,280084
8284;01Dec2017;6522,792329
8284;01Jan2018;2800,88334
8284;01Feb2018;4191,709651
8284;01Mar2018;6412,253843
8284;01Apr2018;5148,051322
8284;01May2018;7665,765393
8284;01Jun2018;8630,220664
8507;01Jan2013;358,367503
8507;01Feb2013;338,8642206
8507;01Mar2013;2677,091079
8507;01Apr2013;1927,298222
8507;01May2013;1953,302598
8507;01Jun2013;1823,280716
8507;01Jul2013;2906,796405
